NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,INDEX,VARIABLE NAME,VALUE,LABEL,SOURCE,SHOWN/USE ON SITE,NOTES,,,
,school,,,,,2,"Mid-Size City (a central city of a CMSA or MSA, with the city having a population less than 250,000)",,,,,,
,school,,,,,3,Urban Fringe of a Large City (any territory within a CMSA or MSA of a Large City and defined as urban by the Census Bureau),,,,,,
,school,,,,,4,Urban Fringe of a Mid-Size City (any territory within a CMSA or MSA of a Mid-Size City and defined as urban by the Census Bureau),,,,,,
,school,,,,,5,"Large Town (an incorporated place or Census-designated place with a population greater than or equal to 25,000 and located outside a CMSA or MSA)",,,,,,
,school,,,,,6,"Small Town (an incorporated place or Census-designated place with a population less than 25,000 and greater than or equal to 2,500 and located outside a CMSA or MSA)",,,,,,
,school,,,,,7,"Rural, Outside MSA (any territory designated as rural by the Census Bureau that is outside a CMSA or MSA of a Large or Mid-Size City)",,,,,,
,school,,,,,8,"Rural, Inside MSA (any territory designated as rural by the Census Bureau that is within a CMSA or MSA of a Large or Mid-Size City)",,,,,,
Latitude,root,location.lat,float,,LATITUDE,,,IPEDS,,,,,
Longitude,root,location.lon,float,,LONGITUDE,,,IPEDS,,,,,
Carnegie Classification -- basic,school,carnegie_basic,integer,integer,CCBASIC,-2,Not applicable,IPEDS,,,,,
,school,,,,,0,(Not classified),,,,,,
,school,,,,,1,Associate's Colleges: High Transfer-High Traditional,,,,,,
,school,,,,,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,,,,,,
,school,,,,,3,Associate's Colleges: High Transfer-High Nontraditional,,,,,,
,school,,,,,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,,,,,,
,school,,,,,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,,,,,,
,school,,,,,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,,,,,,
,school,,,,,7,Associate's Colleges: High Career & Technical-High Traditional,,,,,,
,school,,,,,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,
,school,,,,,9,Associate's Colleges: High Career & Technical-High Nontraditional,,,,,,
,school,,,,,10,Special Focus Two-Year: Health Professions,,,,,,
,school,,,,,11,Special Focus Two-Year: Technical Professions,,,,,,
,school,,,,,12,Special Focus Two-Year: Arts & Design,,,,,,
,school,,,,,13,Special Focus Two-Year: Other Fields,,,,,,
,school,,,,,14,Baccalaureate/Associate's Colleges: Associate's Dominant,,,,,,
,school,,,,,15,Doctoral Universities: Very High Research Activity,,,,,,
,school,,,,,16,Doctoral Universities: High Research Activity,,,,,,
,school,,,,,17,Doctoral/Professional Universities,,,,,,
,school,,,,,18,Master's Colleges & Universities: Larger Programs,,,,,,
,school,,,,,19,Master's Colleges & Universities: Medium Programs,,,,,,
,school,,,,,20,Master's Colleges & Universities: Small Programs,,,,,,
,school,,,,,21,Baccalaureate Colleges: Arts & Sciences Focus,,,,,,
,school,,,,,22,Baccalaureate Colleges: Diverse Fields,,,,,,
,school,,,,,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,,,,,,
,school,,,,,24,Special Focus Four-Year: Faith-Related Institutions,,,,,,
,school,,,,,25,Special Focus Four-Year: Medical Schools & Centers,,,,,,
,school,,,,,26,Special Focus Four-Year: Other Health Professions Schools,,,,,,
,school,,,,,27,Special Focus Four-Year: Research Institution,,,,,,
,school,,,,,28,Special Focus Four-Year: Engineering and Other Technology-Related Schools,,,,,,
,school,,,,,29,Special Focus Four-Year: Business & Management Schools,,,,,,
,school,,,,,30,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,,
,school,,,,,31,Special Focus Four-Year: Law Schools,,,,,,
,school,,,,,32,Special Focus Four-Year: Other Special Focus Institutions,,,,,,
,school,,,,,33,Tribal Colleges,,,,,,
Carnegie Classification -- undergraduate profile,school,carnegie_undergrad,integer,,CCUGPROF,-2,Not applicable,IPEDS,,,,,
,,,,,,0,Not classified (Exclusively Graduate),,,,,,
,,,,,,1,"Two-year, higher part-time",,,,,,
,,,,,,2,"Two-year, mixed part/full-time",,,,,,
,,,,,,3,"Two-year, medium full-time",,,,,,
,,,,,,4,"Two-year, higher full-time",,,,,,
,,,,,,5,"Four-year, higher part-time",,,,,,
,,,,,,6,"Four-year, medium full-time, inclusive, lower transfer-in",,,,,,
,,,,,,7,"Four-year, medium full-time, inclusive, higher transfer-in",,,,,,
,,,,,,8,"Four-year, medium full-time, selective, lower transfer-in",,,,,,
,,,,,,9,"Four-year, medium full-time , selective, higher transfer-in",,,,,,
,,,,,,10,"Four-year, full-time, inclusive, lower transfer-in",,,,,,
,,,,,,11,"Four-year, full-time, inclusive, higher transfer-in",,,,,,
,,,,,,12,"Four-year, full-time, selective, lower transfer-in",,,,,,
,,,,,,13,"Four-year, full-time, selective, higher transfer-in",,,,,,
,,,,,,14,"Four-year, full-time, more selective, lower transfer-in",,,,,,
,,,,,,15,"Four-year, full-time, more selective, higher transfer-in",,,,,,
Carnegie Classification -- size and setting,school,carnegie_size_setting,integer,,CCSIZSET,-2,Not applicable,IPEDS,,,,,
,,,,,,0,(Not classified),,,,,,
,,,,,,1,"Two-year, very small",,,,,,
,,,,,,2,"Two-year, small",,,,,,
,,,,,,3,"Two-year, medium",,,,,,
,,,,,,4,"Two-year, large",,,,,,
,,,,,,5,"Two-year, very large",,,,,,
,,,,,,6,"Four-year, very small, primarily nonresidential",,,,,,
,,,,,,7,"Four-year, very small, primarily residential",,,,,,
,,,,,,8,"Four-year, very small, highly residential",,,,,,
,,,,,,9,"Four-year, small, primarily nonresidential",,,,,,
,,,,,,10,"Four-year, small, primarily residential",,,,,,
,,,,,,11,"Four-year, small, highly residential",,,,,,
,,,,,,12,"Four-year, medium, primarily nonresidential",,,,,,
,,,,,,13,"Four-year, medium, primarily residential",,,,,,
,,,,,,14,"Four-year, medium, highly residential",,,,,,
,,,,,,15,"Four-year, large, primarily nonresidential",,,,,,
,,,,,,16,"Four-year, large, primarily residential",,,,,,
,,,,,,17,"Four-year, large, highly residential",,,,,,
,,,,,,18,Exclusively graduate/professional,,,,,,
Flag for Historically Black College and University,school,minority_serving.historically_black,integer,tinyint,HBCU,0,No,IPEDS,Yes,,,,
,,,,,,1,Yes,,,,,,
Flag for predominantly black institution,school,minority_serving.predominantly_black,integer,tinyint,PBI,0,No,OPE,Yes,,,,
,,,,,,1,Yes,,,,,,
Flag for Alaska Native Native Hawaiian serving institution,school,minority_serving.annh,integer,tinyint,ANNHI,0,No,OPE,Yes,,,,
,,,,,,1,Yes,,,,,,
Flag for tribal college and university,school,minority_serving.tribal,integer,tinyint,TRIBAL,0,No,OPE,Yes,,,,
,,,,,,1,Yes,,,,,,
Flag for Asian American Native American Pacific Islander-serving institution,school,minority_serving.aanipi,integer,tinyint,AANAPII,0,No,OPE,Yes,,,,
,,,,,,1,Yes,,,,,,
Flag for Hispanic-serving institution,school,minority_serving.hispanic,integer,tinyint,HSI,0,No,OPE,Yes,,,,
,,,,,,1,Yes,,,,,,
Flag for Native American non-tribal institution,school,minority_serving.nant,integer,tinyint,NANTI,0,No,OPE,Yes,,,,
,,,,,,1,Yes,,,,,,
Flag for men-only college,school,men_only,integer,tinyint,MENONLY,0,No,IPEDS,Yes,,,,
,,,,,,1,Yes,,,,,,
Flag for women-only college,school,women_only,integer,tinyint,WOMENONLY,0,No,IPEDS,Yes,,,,
,,,,,,1,Yes,,,,,,
Religous affiliation of the institution,school,religious_affiliation,integer,tinyint,RELAFFIL,-1,Not reported,IPEDS,Yes,,,,
,,,,,,-2,Not applicable,,,,,,
,,,,,,22,American Evangelical Lutheran Church,,,,,,
,,,,,,24,African Methodist Episcopal Zion Church,,,,,,
,,,,,,27,Assemblies of God Church,,,,,,
,,,,,,28,Brethren Church,,,,,,
,,,,,,30,Roman Catholic,,,,,,
,,,,,,33,Wisconsin Evangelical Lutheran Synod,,,,,,
,,,,,,34,Christ and Missionary Alliance Church,,,,,,
,,,,,,35,Christian Reformed Church,,,,,,
,,,,,,36,Evangelical Congregational Church,,,,,,
,,,,,,37,Evangelical Covenant Church of America,,,,,,
,,,,,,38,Evangelical Free Church of America,,,,,,
,,,,,,39,Evangelical Lutheran Church,,,,,,
,,,,,,40,International United Pentecostal Church,,,,,,
,,,,,,41,Free Will Baptist Church,,,,,,
,,,,,,42,Interdenominational,,,,,,
,,,,,,43,Mennonite Brethren Church,,,,,,
,,,,,,44,Moravian Church,,,,,,
,,,,,,45,North American Baptist,,,,,,
,,,,,,47,Pentecostal Holiness Church,,,,,,
,,,,,,48,Christian Churches and Churches of Christ,,,,,,
,,,,,,49,Reformed Church in America,,,,,,
,,,,,,50,"Episcopal Church, Reformed",,,,,,
,,,,,,51,African Methodist Episcopal,,,,,,
,,,,,,52,American Baptist,,,,,,
,,,,,,53,American Lutheran,,,,,,
,,,,,,54,Baptist,,,,,,
,,,,,,55,Christian Methodist Episcopal,,,,,,
,,,,,,57,Church of God,,,,,,
,,,,,,58,Church of Brethren,,,,,,
,,,,,,59,Church of the Nazarene,,,,,,
,,,,,,60,Cumberland Presbyterian,,,,,,
,,,,,,61,Christian Church (Disciples of Christ),,,,,,
,,,,,,64,Free Methodist,,,,,,
,,,,,,65,Friends,,,,,,
,,,,,,66,Presbyterian Church (USA),,,,,,
,,,,,,67,Lutheran Church in America,,,,,,
,,,,,,68,Lutheran Church - Missouri Synod,,,,,,
,,,,,,69,Mennonite Church,,,,,,
,,,,,,71,United Methodist,,,,,,
,,,,,,73,Protestant Episcopal,,,,,,
,,,,,,74,Churches of Christ,,,,,,
,,,,,,75,Southern Baptist,,,,,,
,,,,,,76,United Church of Christ,,,,,,
,,,,,,77,"Protestant, not specified",,,,,,
,,,,,,78,Multiple Protestant Denomination,,,,,,
,,,,,,79,Other Protestant,,,,,,
,,,,,,80,Jewish,,,,,,
,,,,,,81,Reformed Presbyterian Church,,,,,,
,,,,,,84,United Brethren Church,,,,,,
,,,,,,87,Missionary Church Inc,,,,,,
,,,,,,88,Undenominational,,,,,,
,,,,,,89,Wesleyan,,,,,,
,,,,,,91,Greek Orthodox,,,,,,
,,,,,,92,Russian Orthodox,,,,,,
,,,,,,93,Unitarian Universalist,,,,,,
,,,,,,94,Latter Day Saints (Mormon Church),,,,,,
,,,,,,95,Seventh Day Adventists,,,,,,
,,,,,,97,The Presbyterian Church in America,,,,,,
,,,,,,99,Other (none of the above),,,,,,
,,,,,,100,Original Free Will Baptist,,,,,,
,,,,,,101,Ecumenical Christian,,,,,,
,,,,,,102,Evangelical Christian,,,,,,
,,,,,,103,Presbyterian,,,,,,
,,,,,,105,General Baptist,,,,,,
,,,,,,106,Muslim,,,,,,
,,,,,,107,Plymouth Brethren,,,,,,
Admission rate,admissions,admission_rate.overall,float,float,ADM_RATE,,,IPEDS,,,,,
Admission rate for all campuses rolled up to the 6-digit OPE ID,admissions,admission_rate.by_ope_id,float,,ADM_RATE_ALL,,,IPEDS,,,,,
Average SAT equivalent score of students admitted,admissions,sat_scores.average.overall,float,float,SAT_AVG,,,IPEDS,,,,,
Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,admissions,sat_scores.average.by_ope_id,float,,SAT_AVG_ALL,,,IPEDS,,,,,
Flag for distance-education-only education,school,online_only,integer,,DISTANCEONLY,0,Not distance-education only,IPEDS,Yes,,,,
,,,,,,1,Distance-education only,,,,,,
Enrollment of undergraduate certificate/degree-seeking students,student,size,integer,integer,UGDS,,,IPEDS,Yes,Not available in 2000-2001 datafile,,,
Total share of enrollment of undergraduate degree-seeking students who are white,student,demographics.race_ethnicity.white,float,,UGDS_WHITE,,,IPEDS,Yes,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are black,student,demographics.race_ethnicity.black,float,,UGDS_BLACK,,,IPEDS,Yes,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,student,demographics.race_ethnicity.hispanic,float,,UGDS_HISP,,,IPEDS,Yes,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are Asian,student,demographics.race_ethnicity.asian,float,,UGDS_ASIAN,,,IPEDS,Yes,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,student,demographics.race_ethnicity.aian,float,,UGDS_AIAN,,,IPEDS,Yes,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,student,demographics.race_ethnicity.nhpi,float,,UGDS_NHPI,,,IPEDS,Yes,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are two or more races,student,demographics.race_ethnicity.two_or_more,float,,UGDS_2MOR,,,IPEDS,Yes,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,student,demographics.race_ethnicity.non_resident_alien,float,,UGDS_NRA,,,IPEDS,Yes,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,student,demographics.race_ethnicity.unknown,float,,UGDS_UNKN,,,IPEDS,Yes,Not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic,student,demographics.race_ethnicity.white_non_hispanic,float,,UGDS_WHITENH,,,IPEDS,,Discontinued; not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic,student,demographics.race_ethnicity.black_non_hispanic,float,,UGDS_BLACKNH,,,IPEDS,,Discontinued; not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander,student,demographics.race_ethnicity.asian_pacific_islander,float,,UGDS_API,,,IPEDS,,Discontinued; not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,student,demographics.race_ethnicity.aian_prior_2009,float,,UGDS_AIANOLD,,,IPEDS,,Discontinued; not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,student,demographics.race_ethnicity.hispanic_prior_2009,float,,UGDS_HISPOLD,,,IPEDS,,Discontinued; not available in all datafiles due to changing race/ethnicity category definitions over time. See data_cohort_map,,,
"Share of undergraduate, degree-/certificate-seeking students who are part-time",student,part_time_share,float,,PPTUG_EF,,,IPEDS,Yes,"The proportion of degree/certificate-seeking undergraduates enrolled part time in the fall term, calculated from the IPEDS Fall Enrollment component. This metric does not apply during 2000-01, when degree/certificate-seeking status was not collected. It is calculated as the number of part-time, degree/certificate-seeking undergraduates divided by the total number of degree/certificate-seeking undergraduates. It includes non-first-time undergraduates. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.",,,
"Flag for currently operating institution, 0=closed, 1=operating",school,operating,integer,tinyint,CURROPER,0,Not currently certified as an operating institution,FSA,Yes,,,,
,,,,,,1,Currently certified as operating,,,,,,
Average net price for Title IV institutions (public institutions),cost,avg_net_price.public,integer,integer,NPT4_PUB,,,IPEDS,Yes,"The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions. For public institutions, this metric is limited to full-time, first-time, degree/certificate-seeking undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. The total cost of attendance depends on whether full-time, first-time, degree/certificate-seeking undergraduates live on campus, off campus (not with family), or off campus (with family). For academic-year institutions, net price represents an average of all programs and includes only full-time, first-time, degree/certificate-seeking undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), net price represents the program with the largest enrollment at the institution and it includes full-time, first-time, degree/certificate-seeking undergraduates who first enrolled at any time during the academic year. For programs less than 1 year in length (see LPROGRAM), this represents the net price for the full program. This metric is not available prior to the 2009-10 academic year.",,,
Average net price for Title IV institutions (private for-profit and nonprofit institutions),cost,avg_net_price.private,integer,integer,NPT4_PRIV,,,IPEDS,Yes,ibid,,,
"Average net price for $0-$30,000 family income (public institutions)",cost,net_price.public.by_income_level.0-30000,integer,integer,NPT41_PUB,,,IPEDS,Yes,"The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid, by detailed income category. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions for each of the following five income categories: $0-$30,000; $30,001-$48,000; $48,001-$75,000; $75,001-$110,000; $110,001 or more. For public institutions, this metric is limited to full-time, first-time, degree/certificate-seeking undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. For academic-year institutions, net price represents an average of all programs and includes only full-time, first-time, degree/certificate-seeking undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), net price represents the program with the largest enrollment at the institution and it includes full-time, first-time, degree/certificate-seeking undergraduates who first enrolled at any time during the academic year. For programs less than 1 year in length (see LPROGRAM), this represents the net price for the full program. The total cost of attendance depends on whether full-time, first-time, degree/certificate-seeking undergraduates live on campus, off campus (not with family), or off campus (with family). Income categories are calculated from the income values used by the institution to calculate financial aid eligibility. For a dependent student, this includes the student's and the parents' income. For an independent student, this includes the student's adjusted gross income and, if the student is married, the spouse's income. This metric is not available prior to the 2009-10 academic year.",,,
"Average net price for $30,001-$48,000 family income (public institutions)",cost,net_price.public.by_income_level.30001-48000,integer,integer,NPT42_PUB,,,IPEDS,Yes,ibid,,,
"Average net price for $48,001-$75,000 family income (public institutions)",cost,net_price.public.by_income_level.48001-75000,integer,integer,NPT43_PUB,,,IPEDS,Yes,ibid,,,
"Average net price for $75,001-$110,000 family income (public institutions)",cost,net_price.public.by_income_level.75001-110000,integer,integer,NPT44_PUB,,,IPEDS,Yes,ibid,,,
"Average net price for $110,000+ family income (public institutions)",cost,net_price.public.by_income_level.110001-plus,integer,integer,NPT45_PUB,,,IPEDS,Yes,ibid,,,
"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.0-30000,integer,integer,NPT41_PRIV,,,IPEDS,Yes,ibid,,,
"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.30001-48000,integer,integer,NPT42_PRIV,,,IPEDS,Yes,ibid,,,
"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.48001-75000,integer,integer,NPT43_PRIV,,,IPEDS,Yes,ibid,,,
"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.75001-110000,integer,integer,NPT44_PRIV,,,IPEDS,Yes,ibid,,,
"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.110001-plus,integer,integer,NPT45_PRIV,,,IPEDS,Yes,ibid,,,
